Indicador,Area,Keyword,Unidad,Meta 2025,Acumulado,% Acumulado,Logro 2023,Logro 2024
Puntaje en GEIAL,Emprendimiento,GEIAL,Unidades,64,0,0,63,63
Mediciones de la estrategia de gestión de negocios,Emprendimiento,Emprendimiento colegios,Unidades,1,0,0,0,0
# de empresas aceleradas proyecto Fondo Mayor,Emprendimiento,Emprendimiento silver,Unidades,50,0,0,0,0
# de emprendimientos creados,Emprendimiento,Nuevos emprendimientos,Unidades,100,45,45,30,80
Tasa de supervivencia empresarial año 1,Emprendimiento,Supervivencia,Porcentaje,70,0,0,65,68
