Fecha,Título,Descripción,Lugar,Hora
2025-01-29,Junta directiva,Reunión ordinaria,Por definir,8:30 AM
2025-03-12,Junta directiva,Reunión ordinaria,Por definir,8:30 AM
2025-05-07,Junta directiva,Reunión ordinaria,Por definir,8:30 AM
2025-06-11,Junta directiva,Reunión ordinaria,Por definir,8:30 AM
2025-08-13,Junta directiva,Reunión ordinaria,Por definir,8:30 AM
2025-09-10,Junta directiva,Reunión ordinaria,Por definir,8:30 AM
2025-11-12,Junta directiva,Reunión ordinaria,Por definir,8:30 AM
